name,输入处理,特征提取,特征融合,物体检测,边界框筛选,输出结果
yolov1,"resize, normalization",normal CNN,simple connection,fully connected layer,NMS,linear activation function
yolov2,"letterbox, normalization",Darknet-19,CSP ,"Anchor Box, Region Proposal Network ",NMS,"softmax,logistic"
yolov3,"letterbox, normalization",Darknet-53,"CSP, FPN","Anchor Box, Region Proposal Network ",NMS,"sigmoid,logistic"
yolov4,"Mosaic,letterbox, normalization",CSPDarknet53,"SPP, PAN","Anchor Box, Region Proposal Network ",NMS,"mish, sigmoid"
yolox,"Mosaic,MixUp,resize,normalization",CSPDarknet53,Rep-PAN,Anchor Box,NMS,"sigmoid,logistic"
yolov5,"Mosaic,MixUp,letterbox,normalization",CSPDarknet53,"SPP, PANet","Anchor Box, Region Proposal Network ",NMS,"sigmoid,logistic"
yolov5s,"Mosaic,MixUp,letterbox,normalization",CSPDarknet53,"SPP, PANet","Anchor Box, Region Proposal Network ",NMS,"sigmoid,logistic"
yolov5m,"Mosaic,MixUp,letterbox,normalization",CSPDarknet53,"SPP, PANet","Anchor Box, Region Proposal Network ",NMS,"sigmoid,logistic"
yolov5n,"Mosaic,MixUp,letterbox,normalization",CSPDarknet53-PAN,"CSP, PANet","Anchor Box, Region Proposal Network ",NMS,"sigmoid,logistic"
yolov6,"Mosaic,MixUp,letterbox,normalization",EfficientRep,Rep-PAN,"Anchor-free, decoupled head, SimOTA",NMS,"sigmoid,logistic"
yolov6s,"Mosaic,MixUp,letterbox,normalization",EfficientRep,Rep-PAN,"Anchor-free, decoupled head, SimOTA",NMS,"sigmoid,logistic"
yolov6m,"Mosaic,MixUp,letterbox,normalization",EfficientRep,Rep-PAN,"Anchor-free, decoupled head, SimOTA",NMS,"sigmoid,logistic"
yolov6n,"Mosaic,MixUp,letterbox,normalization",EfficientRep,Rep-PAN,"Anchor-free, decoupled head, SimOTA",NMS,"sigmoid,logistic"
yolov7,"letterbox,normalization",E-ELAN,"SPP, PAN","Anchor-free, decoupled head, SimOTA",NMS,"sigmoid,logistic,"
yolov8,"Mosaic,MixUp,letterbox,normalization",EfficientRep,"SPP, PAN, FPN","Anchor-free, decoupled head, SimOTA",NMS,linear activation function
yolov8s,"Mosaic,MixUp,letterbox,normalization",EfficientRep,"SPP, PAN, FPN","Anchor-free, decoupled head, SimOTA",NMS,linear activation function
yolov8m,"Mosaic,MixUp,letterbox,normalization",EfficientRep,"SPP, PAN, FPN","Anchor-free, decoupled head, SimOTA",NMS,linear activation function
yolov8n,"Mosaic,MixUp,letterbox,normalization",EfficientRep,"SPP, PAN, FPN","Anchor-free, decoupled head, SimOTA",NMS,linear activation function
yolov8l,"Mosaic,MixUp,letterbox,normalization",EfficientRep,"SPP, PAN, FPN","Anchor-free, decoupled head, SimOTA",NMS,linear activation function
